Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2022-05-11,176.08999633789062,180.9199981689453,165.5500030517578,166.3699951171875,166.3699951171875,12665500,NFLX
2022-05-12,163.9600067138672,177.5800018310547,162.7100067138672,174.30999755859375,174.30999755859375,17662100,NFLX
2022-05-13,177.16000366210938,187.77000427246094,176.00999450683594,187.63999938964844,187.63999938964844,13103800,NFLX
2022-05-11,46.95000076293945,48.150001525878906,45.79999923706055,46.09000015258789,46.09000015258789,24815100,TWTR
2022-05-12,45.0099983215332,47.470001220703125,43.33000183105469,45.08000183105469,45.08000183105469,37682200,TWTR
2022-05-13,40.400001525878906,42.0,40.0099983215332,40.720001220703125,40.720001220703125,101630700,TWTR
2022-05-11,40.369998931884766,40.79999923706055,39.61000061035156,39.84000015258789,39.84000015258789,31757000,CMCSA
2022-05-12,39.88999938964844,41.459999084472656,39.779998779296875,41.38999938964844,41.38999938964844,39604300,CMCSA
2022-05-13,41.060001373291016,41.900001525878906,41.04999923706055,41.47999954223633,41.47999954223633,29683700,CMCSA
2022-05-11,19.5,19.65999984741211,19.290000915527344,19.43000030517578,19.43000030517578,50074200,T
2022-05-12,19.399999618530273,19.739999771118164,19.389999389648438,19.719999313354492,19.719999313354492,52687000,T
2022-05-13,19.739999771118164,19.860000610351562,19.540000915527344,19.84000015258789,19.84000015258789,34089300,T
2022-05-11,29.950000762939453,31.190000534057617,29.950000762939453,30.559999465942383,30.559999465942383,1747300,FOX
2022-05-12,30.5,31.010000228881836,29.84000015258789,30.860000610351562,30.860000610351562,2057500,FOX
2022-05-13,31.3700008392334,31.540000915527344,30.899999618530273,31.239999771118164,31.239999771118164,1216700,FOX
