Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2022-05-11,43.11000061035156,44.0099983215332,42.36000061035156,42.43000030517578,42.43000030517578,5479000,BK
2022-05-12,42.15999984741211,43.16999816894531,41.900001525878906,42.810001373291016,42.810001373291016,5360100,BK
2022-05-13,43.310001373291016,43.810001373291016,42.93000030517578,43.459999084472656,43.459999084472656,4247600,BK
2022-05-11,145.0399932861328,147.33999633789062,143.1300048828125,143.22999572753906,143.22999572753906,999200,NDAQ
2022-05-12,142.60000610351562,145.27000427246094,141.22000122070312,144.3300018310547,144.3300018310547,788100,NDAQ
2022-05-13,145.27000427246094,148.52000427246094,145.27000427246094,147.49000549316406,147.49000549316406,855200,NDAQ
2022-05-11,48.95000076293945,49.939998626708984,47.560001373291016,47.65999984741211,47.65999984741211,30179000,C
2022-05-12,47.2599983215332,47.400001525878906,45.400001525878906,46.560001373291016,46.560001373291016,36301500,C
2022-05-13,46.810001373291016,47.849998474121094,46.810001373291016,47.63999938964844,47.63999938964844,21735200,C
2022-05-11,604.760009765625,621.3900146484375,599.6400146484375,600.3499755859375,600.3499755859375,1170600,BLK
2022-05-12,593.0,604.8400268554688,586.0499877929688,600.4000244140625,600.4000244140625,1117500,BLK
2022-05-13,606.6699829101562,623.4000244140625,603.0900268554688,615.3300170898438,615.3300170898438,1684400,BLK
2022-05-11,119.30000305175781,122.88999938964844,117.94000244140625,118.13999938964844,118.13999938964844,14630300,JPM
2022-05-12,117.0,118.31999969482422,115.37000274658203,118.04000091552734,118.04000091552734,16318800,JPM
2022-05-13,119.41000366210938,120.25,117.95999908447266,119.08999633789062,119.08999633789062,10442400,JPM
