Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2022-05-11,16.549999237060547,17.09000015258789,15.90999984741211,15.970000267028809,15.970000267028809,34913300,AAL
2022-05-12,15.710000038146973,16.1299991607666,15.09000015258789,15.489999771118164,15.489999771118164,40155400,AAL
2022-05-13,15.84000015258789,16.649999618530273,15.819999694824219,16.579999923706055,16.579999923706055,31712000,AAL
2022-05-11,437.5,444.989990234375,436.6199951171875,440.4100036621094,440.4100036621094,1018200,LMT
2022-05-12,439.260009765625,441.32000732421875,428.3500061035156,434.5899963378906,434.5899963378906,1390200,LMT
2022-05-13,435.3599853515625,437.7099914550781,429.0,435.1700134277344,435.1700134277344,1114700,LMT
2022-05-11,157.10000610351562,159.3699951171875,157.0500030517578,157.77999877929688,157.77999877929688,1423700,WM
2022-05-12,158.2100067138672,159.47000122070312,154.0399932861328,155.47999572753906,155.47999572753906,2337100,WM
2022-05-13,157.49000549316406,158.6999969482422,156.1199951171875,157.89999389648438,157.89999389648438,2052500,WM
2022-05-11,132.9499969482422,138.9600067138672,129.11000061035156,129.38999938964844,129.38999938964844,11388400,BA
2022-05-12,126.88999938964844,128.52999877929688,120.27999877929688,123.13999938964844,123.13999938964844,15891300,BA
2022-05-13,124.9800033569336,130.8000030517578,122.37999725341797,127.19999694824219,127.19999694824219,20853700,BA
2022-05-11,205.55999755859375,209.7100067138672,203.58999633789062,205.2100067138672,205.2100067138672,2552400,CAT
2022-05-12,203.61000061035156,205.33999633789062,199.3000030517578,203.02999877929688,203.02999877929688,3282000,CAT
2022-05-13,205.14999389648438,206.4600067138672,202.9199981689453,204.3300018310547,204.3300018310547,2323500,CAT
