years,gics_sector,ticker,avg_daily_close_change,avg_adj_close
2013,Communication Services,DIS,0.0018126760786908557,57.21306569235666
2013,Communication Services,DISH,0.0019652207110347247,42.98599205319844
2013,Communication Services,EA,0.002102930731170735,21.654789784597973
2013,Communication Services,GOOGL,0.0019191081621043001,442.56393250964936
2013,Communication Services,LUMN,-0.0003774885055181321,16.63540245994689
2013,Communication Services,LYV,0.0031843580673165408,15.071309509731474
2013,Communication Services,MTCH,0.0017048146964766492,12.957115559350877
2013,Communication Services,NFLX,0.006234847642956703,35.27183091072809
2013,Communication Services,TMUS,0.003073338056366326,22.204248803002493
2013,Communication Services,TTWO,0.002031374819880535,16.17619045953902
2013,Communication Services,VZ,0.0007357960148629678,32.675858444637726
2013,Communication Services,WBD,0.001483358021653403,40.42628819601877
2013,Consumer Discretionary,AAP,0.001819766021953206,81.69845241970486
2013,Consumer Discretionary,AMZN,0.001984509886493537,298.0315878126356
2013,Consumer Discretionary,EBAY,0.0004187239092101212,21.523031310429648
2013,Consumer Discretionary,HAS,0.0018700305869303673,35.771916177537705
2013,Consumer Discretionary,HD,0.0012772413587329643,61.268403900994194
2013,Consumer Discretionary,KMX,0.0010139687595898182,45.79507929181296
2013,Consumer Discretionary,LEN,0.00037025736906198684,35.03016145645626
2013,Consumer Discretionary,ROST,0.0014328506349513613,30.695833463517445
2013,Consumer Discretionary,TGT,0.0004116251515381891,51.53207921224927
2013,Consumer Discretionary,TJX,0.0017097938374276858,23.178862064603774
2013,Consumer Discretionary,TSLA,0.00681907360923125,20.880246050774105
2013,Consumer Discretionary,VFC,0.0021324574153511397,36.188996731288846
2013,Consumer Staples,ADM,0.002006904056567058,27.566164569249228
2013,Consumer Staples,CAG,0.0007042851317017521,20.469025263710627
2013,Consumer Staples,CLX,0.0011024075501907366,67.43744792635479
2013,Consumer Staples,EL,0.0010412735008684833,61.91184950631762
2013,Consumer Staples,HRL,0.0015964657369481204,17.2444392915756
2013,Consumer Staples,HSY,0.001304629294219622,73.26144277481805
2013,Consumer Staples,KMB,0.0010302953814890065,71.11600020575145
2013,Consumer Staples,MO,0.0010389678198091997,21.876694202423096
2013,Consumer Staples,PEP,0.0009100386994372966,62.30375249045236
2013,Consumer Staples,SJM,0.0008721808633124262,80.60757116287473
2013,Consumer Staples,SYY,0.0007520682167668301,26.44624348292275
2013,Consumer Staples,WBA,0.0019366406606686583,39.025493266090514
2013,Energy,BKR,0.0013485813401509148,27.841736271267845
2013,Energy,CTRA,0.0019511024326056541,28.956191781967405
2013,Energy,CVX,0.000735078026831842,82.18192836216518
2013,Energy,DVN,0.0008506269710799227,46.00159654163179
2013,Energy,EOG,0.0014570560530205833,62.22541837843637
2013,Energy,HES,0.0019371746788998305,62.46173863183884
2013,Energy,KMI,0.0003145745252788447,24.196641452728755
2013,Energy,OKE,0.0017975226983177786,25.50906132894849
2013,Energy,OXY,0.0010351987197931315,62.05615923139784
2013,Energy,PXD,0.0023987527029920297,140.78465464758494
2013,Energy,SLB,0.001192131606367049,63.17550416976687
2013,Energy,WMB,0.0008996849170168252,21.17386419810946
2013,Financials,AFL,0.001075666160332186,23.32307445435297
2013,Financials,AIG,0.0015977195235378583,36.77723961784726
2013,Financials,AIZ,0.0027213386041104993,42.84096299277412
2013,Financials,ALL,0.001344105392118831,41.41339576055133
